Band,F1 Score,Accuracy
MLSWI26,0.4321116392364816,0.8980056065123391
MIRBI,0.5832549445891304,0.9360745711722501
B11,0.6114783733527367,0.9403492778455742
SWI,0.6079648499180095,0.9393321910357958
BRBA,0.5892579530791139,0.9366849475710293
IKAW,0.6235905851804666,0.9407564026329475
MBWI,0.6284717176368826,0.9419779841832538
NBRplus,0.6270063358255157,0.9415721025250023
GDVI,0.632387123509031,0.9423865592879356
NMDI,0.6217540598785856,0.9409611045616624
B12,0.6261684018111546,0.9413682293490353
kVARI,0.6311214680175031,0.9421822717355948
WI2015,0.6336432011870607,0.9425898108993417
NBAI,0.6252571209766727,0.9409600686207276
AOT,0.6217194836997111,0.9405533582097284
DSWI1,0.6324382434195156,0.9417759757009694
ARI,0.6207138548170207,0.939535649835389
AWEIsh,0.6110433399645634,0.9387209858842688
SIPI,0.632908774706126,0.9415718953368156
IBI,0.6276672395794392,0.9413669862199138
MCARI705,0.6260956839837066,0.9405529438333543
TVI,0.623843582367823,0.9405537725861022
PSRI,0.6230342655580751,0.9411637346085076
MLSWI27,0.6350848064104715,0.9419775698068799
MRBVI,0.6321641266942997,0.9419783985596277
NDSaII,0.6231906110949896,0.9405529438333543
TRRVI,0.62649948459333,0.9409598614325405
DSWI4,0.6282224856745855,0.9413674005962877
NDDI,0.6330529189502108,0.9419788129360016
AWEInsh,0.6427321748796416,0.9431989441689993
RI4XS,0.6357257795967473,0.9419781913714408
MTCI,0.6430949707627216,0.9434021957804054
IRECI,0.629289420338458,0.9417736966309128
NSDSI2,0.6407107353372764,0.9431991513571862
DSI,0.6433282104187629,0.9436066905209334
kEVI,0.6306730683876166,0.9413669862199138
S2WI,0.6232619324724588,0.9405535653979152
CIG,0.6283392432080911,0.9411633202321337
TCARIOSAVI705,0.6445131580536418,0.9434028173449663
FCVI,0.6401778229409593,0.942792233758
SWM,0.6291312328849569,0.9409598614325405
NormR,0.6388049000625186,0.94238490178244
VIBI,0.6345139958058866,0.942385108970627
GARI,0.6515578252636971,0.9442174812960864
SCL,0.6350554003501968,0.9427926481343739
BAI,0.6363797482706526,0.9425879462056592
CVI,0.6310250335860201,0.9421814429828469
DBSI,0.6421761147499746,0.942996521310341
GBNDVI,0.6439684041512305,0.9438093205677784
TTVI,0.6416068278732883,0.9434030245331533
VARI,0.6379004225976004,0.943200187298121
NSDS,0.6397315747171586,0.9434030245331531
B8,0.6365348520453601,0.9423857305351879
NIRv,0.6383709087612197,0.9429958997457801
NDVI,0.6375062527737997,0.9425883605820331
BLFEI,0.6226887750636789,0.9409604829971014
BCC,0.6552584431565323,0.9448278576948657
GRVI,0.6397546800525176,0.9431995657335601
NSDSI1,0.6394892861218521,0.9429956925575931
NWI,0.6302466400055711,0.9415702378313198
NDYI,0.6353037741254441,0.94218123579466
MGRVI,0.6331450665251507,0.9423853161588139
MSI,0.6292660378970404,0.9413667790317266
PISI,0.6343701637078305,0.9423849017824398
MNLI,0.6365354029678992,0.9427920265698131
NSDSI3,0.6308466746316209,0.9415700306431327
TCI,0.6344066688460281,0.9421814429828469
IAVI,0.6331783984156643,0.9419775698068799
BAIM,0.6257224477024643,0.9407559882565735
VgNIRBI,0.6299997234611376,0.9413667790317266
WDVI,0.6188186229355437,0.9405533582097284
MCARIOSAVI705,0.6444106682681008,0.9434028173449663
