Reducer,Composites,F1 Score
max,12,0.6407121539372612
mean,12,0.6498519944600092
median,12,0.6518118180230366
min,12,0.6296801825310155
sampleStdDev,12,0.622424056913044
skew,12,0.5479558701250126
max,6,0.6363798656970466
mean,6,0.6531042423880661
median,6,0.6602914137571534
min,6,0.6586897907541331
sampleStdDev,6,0.636209981379017
skew,6,0.5263116696824331
max,4,0.6417465707509317
mean,4,0.6243612426141738
median,4,0.6370803446126259
min,4,0.6490450125805071
sampleStdDev,4,0.6389481259918078
skew,4,0.5614586936551822
max,2,0.6330616916246105
mean,2,0.6211975524304668
median,2,0.6048350911575853
min,2,0.6485113618706053
sampleStdDev,2,0.6367340318498046
skew,2,0.5923394590138
max,1,0.6174732299643796
mean,1,0.6265654758246683
median,1,0.597807832573983
min,1,0.6416531595624012
sampleStdDev,1,0.635110003976575
skew,1,0.5812650402500539
